"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-18","1.34",,"0.00",,"63","55","  270","  270","6.9","12.1","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-19","0.89",,"0.01",,"64","54","  270","  280","6.9","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-20","1.12",,"0.01",,"69","54","  270","  270","6.0","11.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-21","1.12",,"0.00",,"77","50","  280","  280","8.1","11.0","    1","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-22","1.12",,"0.00",,"71","50","  270","  270","6.0","10.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-23","1.12",,"0.00",,"64","54","  350","  360","8.9","15.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-24","1.12",,"0.00",,"66","47","  270","  270","8.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-25","0.67",,"0.00",,"71","50","  270","  280","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-26","1.34",,"0.00",,"73","47","  280","  270","8.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-27","1.57",,"0.00",,"73","52","  280","  270","6.9","12.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-28","0.67",,"0.00",,"74","50","  270","  280","8.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-29","0.89",,"0.00",,"72","50","  100","  270","6.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-30","0.89",,"0.00",,"66","55","  150","  110","6.9","8.9","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-01-31","4.47",,"0.43",,"59","50","  270","  280","16.1","32.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-01","6.04",,"0.00",,"58","43","  320","  340","16.1","32.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-02","1.12",,"0.00",,"62","41","  280","  260","8.1","15.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-03","1.12",,"0.00",,"65","43","  270","  280","8.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-04","0.89",,"0.00",,"70","46","  270","  280","6.9","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-05","0.89",,"0.00",,"76","46","   90","  260","6.0","8.9",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-06","0.89",,"0.00",,"77","50","  270","  270","8.1","12.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-07","1.12",,"0.00",,"84","51","  270","  270","6.9","10.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-08","0.67",,"0.00",,"88","53","  100","  110","6.9","10.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-09","0.67",,"0.00",,"89","56","  280","  250","8.1","11.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-10","1.57",,"0.00",,"88","61","  270","  270","8.1","12.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-11","2.24",,"0.00",,"87","59","  280","  270","6.9","10.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-12","0.67",,"0.00",,"85","56","  280","  270","8.1","12.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-13","1.12",,"0.00",,"75","51","  270","  260","8.1","11.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-14","0.22",,"0.00",,"79","48","  270","  260","6.9","10.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-15","0.89",,"0.00",,"89","55","  270","  270","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-16","1.79",,"0.00",,"90","58","  280","  280","8.9","15.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-17","2.46",,"0.58",,"76","55","   90","   90","12.1","18.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-18","2.24",,"0.21",,"68","56","  270","  280","8.9","13.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-19","0.67",,"0.00",,"69","51","  270","  280","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-20","1.34",,"0.00",,"72","50","  270","  270","8.1","12.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-21","0.22",,"0.00",,"73","50","  280","  280","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-22","1.57",,"0.00",,"78","51","  270","  270","8.1","14.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-23","2.01",,"0.00",,"83","55","  270","  270","8.1","13.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-24","2.01",,"0.00",,"81","58","  280","  270","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-25","2.01",,"0.00",,"83","57","  280","  280","8.9","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-26","1.57",,"0.00",,"79","54","  280","  280","10.1","15.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-27","1.12",,"0.00",,"74","53","  280","  270","8.1","13.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-28","0.45",,"0.00",,"75","56","  260","  280","8.1","13.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-02-29","0.67",,"0.00",,"74","56","  270","  270","6.9","11.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-01","0.22",,"0.00",,"76","56","  280","  270","6.9","10.1","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-02","1.12",,"0.00",,"73","52","  280","  280","8.9","13.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-03","0.45",,"0.00",,"74","54","  280","  280","8.1","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-04","1.79",,"0.00",,"70","57","  270","  280","8.9","16.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-05","1.79",,"0.01",,"67","59","  140","  180","6.9","10.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-06","4.70",,"0.64",,"67","54","  270","  270","16.1","34.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-07","3.36",,"0.38",,"61","47","  270","  260","14.1","25.9","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-08","2.68",,"0.00",,"72","49","  270","  280","10.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-09","1.57",,"0.00",,"74","53","  270","  270","8.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-10","1.34",,"0.00",,"77","54","  270","  270","8.9","15.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-11","3.58",,"0.52",,"69","52","  270","  260","10.1","21.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-12","1.57",,"0.00",,"66","47","  260","  260","6.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-13","3.13",,"0.00",,"68","53","  270","  280","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-14","1.79",,"0.03",,"70","58","  280","  310","8.9","14.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-15","1.12",,"0.00",,"77","53","  270","  280","8.1","11.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-16","1.34",,"0.00",,"87","57","  280","  280","8.1","12.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-17","2.24",,"0.00",,"81","59","  270","  280","8.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-18","1.34",,"0.00",,"73","57","  270","  280","8.9","15.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-19","1.57",,"0.00",,"71","57","  270","  270","8.1","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-20","1.34",,"0.00",,"72","57","  270","  270","8.9","13.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-21","1.57",,"0.00",,"71","57","  280","  270","10.1","18.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-22","5.59",,"0.00",,"71","53","  310","  310","16.1","25.9",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-23","1.79",,"0.00",,"77","52","  270","  280","8.9","17.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-24","1.34",,"0.00",,"81","55","  270","  270","10.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-25","1.79",,"0.00",,"78","54","  280","  270","8.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-26","2.01",,"0.00",,"77","59","  280","  280","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-27","1.34",,"0.00",,"74","59","  280","  270","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-28","2.46",,"0.02",,"66","54","  270","  270","13.0","28.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-29","3.13",,"0.00",,"64","48","  270","  260","14.1","25.9",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-30","3.36",,"0.00",,"66","52","  280","  280","12.1","18.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-03-31","3.13",,"0.00",,"72","50","  270","  290","13.0","23.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-01","2.01",,"0.00",,"72","54","  270","  280","8.9","15.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-02","2.01",,"0.00",,"76","54","  270","  280","8.9","15.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-03","1.57",,"0.00",,"79","56","  270","  270","10.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-04","1.57",,"0.00",,"80","58","  270","  270","8.9","13.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-05","1.57",,"0.00",,"85","56","  280","  270","6.9","12.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-06","1.34",,"0.00",,"88","59","  280","  280","12.1","17.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-07","0.67",,"0.06",,"69","59","  270","  120","8.1","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-08","0.45",,"0.14",,"61","59","  270","  270","6.0","8.9","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-09","2.68",,"0.04",,"64","60","   60","  170","8.1","15.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-10","1.57",,"0.00",,"70","58","  280","  280","13.0","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-11","2.01",,"0.00",,"73","59","  270","  280","10.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-12","1.79",,"0.00",,"75","56","  270","  270","8.9","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-13","2.24",,"0.00",,"73","57","  270","  280","8.9","15.0","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-14","2.91",,"0.00",,"72","57","  330","  330","16.1","29.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-15","6.71",,"0.00",,"81","59","  330","  330","17.0","29.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-16","0.89",,"0.00",,"82","58","  270","  270","6.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-17","2.68",,"0.00",,"89","58","  270","  280","13.0","21.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-18","1.79",,"0.00",,"89","59","  280","  270","8.9","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-19","1.12",,"0.00",,"89","62","  270","  270","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-20","1.34",,"0.00",,"87","60","  270","  270","10.1","18.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-21","1.34",,"0.00",,"78","58","  280","  270","12.1","18.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-22","2.68",,"0.00",,"73","60","  270","  260","13.0","25.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-23","2.91",,"0.00",,"76","57","  270","  270","13.0","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-24","3.13",,"0.00",,"75","58","  280","  280","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-25","4.25",,"0.00",,"69","55","  320","  270","15.0","28.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-26","2.46",,"0.00",,"70","53","  270","  270","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-27","2.91",,"0.00",,"70","55","  270","  280","13.0","21.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-28","2.46",,"0.00",,"71","55","  270","  280","10.1","18.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-29","2.91",,"0.00",,"69","56","  280","  280","8.9","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-04-30","1.79",,"0.00",,"69","56","  270","  280","12.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-01","2.46",,"0.00",,"73","58","  280","  280","8.9","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-02","1.79",,"0.00",,"72","56","  270","  270","12.1","16.1","    1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-03","2.46",,"0.00",,"77","57","  280","  270","12.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-04","2.24",,"0.00",,"69","56","  280","  270","8.9","16.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-05","1.57",,"0.05",,"68","57","  270","  270","8.1","15.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-06","1.12",,"0.00",,"67","57","  270","  150","8.9","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-07","2.01",,"0.00",,"68","57","  270","  280","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-08","2.24",,"0.00",,"71","57","  270","  270","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-09","1.57",,"0.00",,"68","58","  270","  270","8.9","18.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-10","1.57",,"0.00",,"70","57","  270","  280","8.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-11","2.01",,"0.00",,"72","59","  270","  260","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-12","1.79",,"0.00",,"75","58","  270","  280","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-13","2.01",,"0.00",,"78","60","  270","  270","8.1","16.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-14","2.01",,"0.00",,"72","62","  270","  270","8.9","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-15","2.01",,"0.00",,"72","62","  270","  270","10.1","15.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-16","0.89",,"0.00",,"71","61","  290","  270","8.1","13.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-17","2.68",,"0.00",,"72","61","  280","  270","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-18","2.46",,"0.00",,"71","61","  270","  280","8.9","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-19","1.79",,"0.00",,"72","62","  280","  270","8.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-20","2.68",,"0.00",,"70","58","  130","  180","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-21","2.01",,"0.00",,"71","56","  270","  270","12.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-22","2.68",,"0.00",,"72","56","  280","  270","13.0","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-23","2.24",,"0.00",,"74","57","  270","  270","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-24","2.46",,"0.00",,"71","58","  270","  280","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-25","2.24",,"0.00",,"68","56","  280","  270","13.0","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-26","2.01",,"0.00",,"74","58","  270","  280","12.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-27","2.24",,"0.00",,"73","58","  270","  270","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-28","2.91",,"0.00",,"72","61","  280","  280","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-29","1.57",,"0.00",,"71","60","  270","  270","8.9","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-30","2.01",,"0.00",,"72","58","  280","  270","10.1","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-05-31","2.01",,"0.00",,"74","60","  270","  280","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-01","1.79",,"0.00",,"75","63","  270","  280","8.1","15.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-02","1.79",,"0.00",,"78","60","  270","  270","8.1","13.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-03","1.57",,"0.00",,"87","59","  270","  280","10.1","13.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-04","2.01",,"0.00",,"77","59","  270","  280","8.9","13.0","    1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-05","2.01",,"0.00",,"71","58","  270","  270","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-06","1.79",,"0.00",,"73","58","  280","  270","8.9","15.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-07","2.01",,"0.00",,"75","60","  270","  270","8.9","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-08","1.57",,"0.00",,"77","60","  270","  270","10.1","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-09","1.57",,"0.00",,"72","62","  270","  270","8.1","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-10","1.79",,"0.00",,"77","62","  280","  270","8.1","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-11","2.46",,"0.00",,"70","62","  170","  180","8.1","13.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-12","1.34",,"0.00",,"72","60","  270","  270","8.1","12.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-13","2.68",,"0.00",,"71","60","  270","  280","12.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-14","1.79",,"0.00",,"72","60","  270","  260","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-15","2.01",,"0.00",,"72","62","  270","  270","8.9","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-16","2.46",,"0.00",,"76","59","  280","  280","12.1","19.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-17","1.57",,"0.00",,"84","60","  280","  280","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-18","1.79",,"0.00",,"89","63","  280","  270","12.1","19.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-19","1.79",,"0.00",,"96","66","  280","  270","10.1","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-20","2.01",,"0.00",,"101","71","  280","  260","8.9","14.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-21","2.68",,"0.00",,"89","67","  140","  170","10.1","16.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-22","1.79",,"0.00",,"84","63","  270","  270","10.1","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-23","2.01",,"0.00",,"80","64","  270","  270","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-24","2.24",,"0.00",,"79","64","  270","  270","10.1","16.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-25","1.79",,"0.00",,"80","65","  270","  280","8.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-26","2.01",,"0.00",,"82","65","  280","  270","8.1","13.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-27","0.22",,"0.00",,"88","65","  270","  270","8.1","12.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-28","2.01",,"0.00",,"86","67","  270","  260","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-29","2.01",,"0.00",,"86","66","  280","  270","8.9","14.1","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-06-30","1.34",,"0.00",,"82","66","  270","  270","8.9","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-01","2.46",,"0.00",,"80","66","  260","  260","8.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-02","2.01",,"0.00",,"81","64","  280","  260","8.1","14.1",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-03","2.46",,"0.00",,"77","63","  280","  280","8.9","16.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-04","2.46",,"0.00",,"74","63","  270","  270","12.1","17.0",,,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-05","2.24",,"0.00",,"77","63","  280","  270","10.1","17.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-06","1.79",,"0.00",,"78","63","  280","  270","8.9","17.0","    1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-07","1.79",,"0.00",,"80","64","  280","  270","12.1","19.0",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2016-07-08","2.01",,"0.00",,"83","63","  280","  270","10.1","15.0",,,"    1"
